idx,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24
10,69.81132075471699,68.86792452830188,74.52830188679245,74.52830188679245,69.81132075471699,70.75471698113208,74.52830188679245,75.47169811320755,71.69811320754717,71.69811320754717,72.64150943396227,74.52830188679245,71.69811320754717,76.41509433962264,69.81132075471699,71.69811320754717,72.64150943396227,73.58490566037736,76.41509433962264,72.64150943396227,73.58490566037736,79.24528301886792,77.35849056603773,75.47169811320755,74.52830188679245
11,70.10309278350516,72.16494845360825,72.16494845360825,71.1340206185567,72.16494845360825,68.04123711340206,69.0721649484536,71.1340206185567,71.1340206185567,70.10309278350516,72.16494845360825,74.22680412371135,70.10309278350516,72.16494845360825,71.1340206185567,73.19587628865979,74.22680412371135,71.1340206185567,75.25773195876289,73.19587628865979,72.16494845360825,76.28865979381443,73.19587628865979,75.25773195876289,74.22680412371135
12,69.38775510204081,71.42857142857143,78.57142857142857,78.57142857142857,75.51020408163265,80.61224489795919,76.53061224489795,81.63265306122449,79.59183673469387,78.57142857142857,77.55102040816327,78.57142857142857,79.59183673469387,77.55102040816327,79.59183673469387,81.63265306122449,77.55102040816327,79.59183673469387,79.59183673469387,76.53061224489795,80.61224489795919,80.61224489795919,76.53061224489795,78.57142857142857,78.57142857142857
13,75.75757575757575,75.75757575757575,76.76767676767676,77.77777777777777,79.79797979797979,80.8080808080808,77.77777777777777,78.78787878787878,79.79797979797979,80.8080808080808,80.8080808080808,80.8080808080808,81.81818181818181,80.8080808080808,81.81818181818181,82.82828282828282,82.82828282828282,81.81818181818181,81.81818181818181,80.8080808080808,80.8080808080808,84.84848484848484,79.79797979797979,81.81818181818181,78.78787878787878
14,67.2566371681416,71.68141592920354,69.91150442477876,70.79646017699115,70.79646017699115,69.91150442477876,73.45132743362832,71.68141592920354,71.68141592920354,73.45132743362832,70.79646017699115,73.45132743362832,71.68141592920354,71.68141592920354,71.68141592920354,75.22123893805309,74.33628318584071,71.68141592920354,74.33628318584071,73.45132743362832,74.33628318584071,70.79646017699115,73.45132743362832,73.45132743362832,77.87610619469027
15,73.46938775510205,75.51020408163265,77.55102040816327,74.48979591836735,75.51020408163265,76.53061224489795,74.48979591836735,76.53061224489795,75.51020408163265,77.55102040816327,76.53061224489795,75.51020408163265,74.48979591836735,75.51020408163265,76.53061224489795,73.46938775510205,75.51020408163265,72.44897959183673,77.55102040816327,72.44897959183673,76.53061224489795,74.48979591836735,72.44897959183673,75.51020408163265,74.48979591836735
16,67.28971962616822,71.96261682242991,73.83177570093459,75.70093457943925,76.6355140186916,80.37383177570094,78.50467289719626,76.6355140186916,73.83177570093459,77.57009345794393,75.70093457943925,74.76635514018692,79.4392523364486,76.6355140186916,76.6355140186916,76.6355140186916,78.50467289719626,77.57009345794393,76.6355140186916,76.6355140186916,78.50467289719626,74.76635514018692,77.57009345794393,77.57009345794393,75.70093457943925
17,68.04123711340206,70.10309278350516,70.10309278350516,75.25773195876289,75.25773195876289,75.25773195876289,77.31958762886597,77.31958762886597,77.31958762886597,74.22680412371135,72.16494845360825,78.35051546391753,71.1340206185567,76.28865979381443,74.22680412371135,73.19587628865979,73.19587628865979,72.16494845360825,71.1340206185567,71.1340206185567,72.16494845360825,71.1340206185567,69.0721649484536,71.1340206185567,70.10309278350516
18,74.31192660550458,73.39449541284404,74.31192660550458,77.06422018348624,76.14678899082568,77.98165137614679,74.31192660550458,76.14678899082568,74.31192660550458,74.31192660550458,72.4770642201835,70.64220183486239,73.39449541284404,72.4770642201835,73.39449541284404,73.39449541284404,73.39449541284404,70.64220183486239,74.31192660550458,70.64220183486239,75.22935779816514,68.80733944954129,75.22935779816514,69.72477064220183,69.72477064220183
19,67.01030927835052,75.25773195876289,73.19587628865979,75.25773195876289,77.31958762886597,75.25773195876289,78.35051546391753,77.31958762886597,78.35051546391753,75.25773195876289,78.35051546391753,73.19587628865979,76.28865979381443,75.25773195876289,79.38144329896907,77.31958762886597,76.28865979381443,78.35051546391753,78.35051546391753,75.25773195876289,75.25773195876289,73.19587628865979,77.31958762886597,77.31958762886597,77.31958762886597
